areaName,Borough,areaType,2010 median rent for 1B,2011 median rent for 1B,2012 median rent for 1B,2013 median rent for 1B,2014 median rent for 1B,2015 median rent for 1B,2016 median rent for 1B,2017 median rent for 1B,2018 median rent for 1B,2019 median rent for 1B,2020 median rent for 1B,2021 median rent for 1B,2022 median rent for 1B,2023 estimated median rent for 1B  (using 8 months in 2023)
All Downtown,Manhattan,submarket,3000,3217.5,3300,3399.5,3487.5,3547.5,3525,3497.5,3587.5,3797.5,3497.5,3725,4462.5,4500
All Midtown,Manhattan,submarket,2985,3206.5,3300,3345,3420,3478.5,3470,3377.5,3425,3550,3247.5,3482.5,4177.5,4327
All Upper East Side,Manhattan,submarket,2495,2599,2637.5,2675,2731.5,2822.5,2885,2797.5,2875,3025,2807.5,2686,3375,3497.5
All Upper Manhattan,Manhattan,submarket,1550,1625,1699.5,1706.5,1737.5,1816.5,1906.5,1946.5,1940,2035,1975,1935,2147,2397.5
All Upper West Side,Manhattan,submarket,2600,2875,2967.5,2970,2975,3125,3150,3120,3120,3307,3025,3194,3912,4088
Astoria,Queens,neighborhood,1450,1825,1825,1711.5,1800,1887.5,1947.5,1925,1900,1937.5,1900,1850,2137.5,2445
Auburndale,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1600,#NUM!,#NUM!,#NUM!
Bath Beach,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1544,1619,1622.5,1595,1648,1750
Battery Park City,Manhattan,neighborhood,2925,3034,3200,3322.5,3317.5,3550,3555,3581.5,3649,3830,3583,3750,4127.5,4605
Bay Ridge,Brooklyn,neighborhood,1300,1350,1398,1469,1550,1575,1637.5,1650,1675,1681,1675,1675,1775,1949.5
Baychester,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Bayside,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1775,#NUM!,1850,1862.5,1856.5,2006.5,2137.5
Bedford Park,Bronx,neighborhood,#NUM!,#NUM!,1050,#NUM!,1350,1344,1450,1375,#NUM!,1660,1660,#NUM!,1661.5,#NUM!
Bedford-Stuyvesant,Brooklyn,neighborhood,1400,1400,1506.5,1625,1725,1836,1961,2000,2075,2186,2087.5,2137.5,2537,2750
Bellerose,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Belmont,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Bensonhurst,Brooklyn,neighborhood,#NUM!,1300,#NUM!,#NUM!,1331.5,1399.5,1399,1550,1599,1587.5,1574,1559.5,1656,1900
Bergen Beach,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Boerum Hill,Brooklyn,neighborhood,2125,2262.5,2437.5,2500,2425,2575,2525,2599,2450,2556,2662.5,2725,3350,3561.5
Borough Park,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,1250,1350,1350,1537.5,1801,1595,1597.5,1619,1592.5,1737.5,1899
Briarwood,Queens,neighborhood,#NUM!,#NUM!,#NUM!,1450,1550,1671.5,1679,1572.5,1612.5,1712.5,1719,1725,1812.5,1925
Brighton Beach,Brooklyn,neighborhood,#NUM!,#NUM!,1631.5,#NUM!,1475,1575,1685,1766.5,1734.5,1891.5,1749.5,1825,2156.5,2335
Bronx,Bronx,borough,1312.5,1250,1212.5,1250,1262.5,1375,1462.5,1512.5,1572.5,1647.5,1699,1712.5,1787.5,2068.5
Bronxwood,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1400,1449.5,1550,1637.5,1625,1595,1640,1638
Brooklyn,Brooklyn,borough,1972.5,2050,2300,2291.5,2250,2275,2290,2220,2200,2287,2272.5,2150,2525,2975
Brooklyn Heights,Brooklyn,neighborhood,2225,2525,2697.5,2812.5,2725,2687.5,2867.5,2947.5,2981.5,3265,3087.5,3220,3887.5,3893
Brookville,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Brownsville,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1325,1375,1462.5,1550,#NUM!,#NUM!,1650,1662.5,1800
Bushwick,Brooklyn,neighborhood,1500,2000,1800,1847.5,1905,1887.5,2050,2049.5,2173.5,2357,2415.5,2291,2719,2900
Cambria Heights,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Canarsie,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1750,2000
Carroll Gardens,Brooklyn,neighborhood,2025,2281.5,2475,2450,2450,2494,2469,2525,2611.5,2694,2550,2575,3025,3336.5
Castle Hill,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1400,1400,1475,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Central Harlem,Manhattan,neighborhood,1533,1687.5,1697.5,1712.5,1775,1971,2047.5,2092.5,2137.5,2175,2135,2070,2373.5,2550
Central Park South,Manhattan,neighborhood,5500,5787.5,5550,6000,6462.5,7087.5,6750,6250,6475,6478,5652,6086.5,6787.5,6550
Central Queens,Queens,submarket,1150,1467.5,1550,1587.5,1675,1737.5,1800,1800,1799.5,1847.5,1845,1850,2017,2250
Chelsea,Manhattan,neighborhood,3150,3350,3500,3546.5,3622.5,3812.5,3864.5,3851.5,3951.5,4197.5,3771,4159,4998,5177
Chinatown,Manhattan,neighborhood,1950,2050,2550,2525,2675,2350,2349,2447.5,2350,2485.5,2087.5,2211.5,2800,2700
City Island,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Civic Center,Manhattan,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Clearview,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Clinton Hill,Brooklyn,neighborhood,1775,1987.5,2375,2325,2250,2371.5,2399.5,2379.5,2422,2573,2462.5,2535,3113,3600
Co-op City,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Cobble Hill,Brooklyn,neighborhood,2200,2600,2610,2462.5,2500,2637.5,2612.5,2540,2650,2710,2620,2660,3247.5,3450
College Point,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Columbia St Waterfront District,Brooklyn,neighborhood,#NUM!,1700,#NUM!,#NUM!,2140,2200,2275,2350,2450,2500,2275,2500,2600,#NUM!
Concourse,Bronx,neighborhood,#NUM!,1075,1200,1387,1375,1300,1410,1497.5,1526.5,1601,1618.5,1634,1736.5,1837.5
Coney Island,Brooklyn,neighborhood,#NUM!,#NUM!,1425,#NUM!,#NUM!,#NUM!,1818.5,1850,2150,2354,2337,2139.5,2353,2625
Corona,Queens,neighborhood,1150,1150,#NUM!,#NUM!,#NUM!,1600,1702.5,1850,1853,1892,1807,1870.5,2072,2100
Country Club,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Crotona Park East,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1590,#NUM!
Crown Heights,Brooklyn,neighborhood,1506,1431.5,1612.5,1597.5,1617.5,1725,1850,1887,1962.5,2050,2025,2025,2367.5,2750
DUMBO,Brooklyn,neighborhood,2950,3100,3249,3587.5,3625,3783.5,3745.5,3675,3851,3981,3870,4124,4514,5087
Ditmas Park,Brooklyn,neighborhood,#NUM!,1450,1487.5,1606.5,1516.5,1573.5,1762.5,1706.5,1756.5,1830.5,1862.5,1787.5,2012.5,2273.5
Douglaston,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1500,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
Downtown Brooklyn,Brooklyn,neighborhood,2418,2475,2536,2813.5,2892.5,3063.5,3022,3029,3248.5,3385.5,3226.5,3472.5,3975,4194.5
Dyker Heights,Brooklyn,neighborhood,#NUM!,1225,#NUM!,#NUM!,#NUM!,1349,#NUM!,#NUM!,1525,1637.5,1638,1550,1550,1813
East Brooklyn,Brooklyn,submarket,1475,1499,1562.5,1625,1700,1797.5,1947.5,1990,2074,2177,2124.5,2122.5,2522.5,2800
East Elmhurst,Queens,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
East Flatbush,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,1250,1300,1462.5,1600,1650,1724.5,1777.5,1799.5,1937.5,2260
East Harlem,Manhattan,neighborhood,1922.5,1813,2037.5,1947.5,1895,1939,2111,2107.5,2000,2047.5,1987.5,1937.5,2175,2545
East New York,Brooklyn,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,1438,1499.5,#NUM!,1822.5,1824.5,1676.5,1825,1975
East Tremont,Bronx,neighborhood,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
